ProductId,BFUrl,Competitor1Url,Competitor1Variation,Comptetitor2Url,Competitor2Variation,Competitor1ExtractedPrice,Competitor2ExtractedPrice,BFExtractedPrice
BR48,https://bingleyfencing.co.uk/products/backrails?variant=41415425523898,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,4.8m,,,5.47,,5.86
BR42,https://bingleyfencing.co.uk/products/backrails?variant=40917576876218,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,4.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,"4.2 Metre (13ft 9"")",4.78,4.91,5.15
BR36,https://bingleyfencing.co.uk/products/backrails?variant=40917576908986,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,"3.6 Metre (11ft 10"")",4.11,4.21,4.4
BR24,https://bingleyfencing.co.uk/products/backrails?variant=41033978249402,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,"2.4 Metre (7ft 10"")",2.74,2.81,2.93
BR18,https://bingleyfencing.co.uk/products/backrails?variant=40917576941754,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,1.829m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,n/a,2.09,2.14,2.23
DB1,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651521722,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,n/a,ERROR: Length cannot be less than zero. (Parameter 'length'),6.43,11.55
DB2,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651554490,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,4.8m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,"4.8 Metre (15ft 9"")",10.63,10.4,10.27
DB3,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651587258,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,4.2m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,"4.2 Metre (13ft 9"")",9.3,9,8.98
DB4,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651620026,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,"3.6 Metre (11ft 10"")",7.97,7.71,7.7
DB5,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651652794,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,3.0m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,3 Metre (10ft),6.65,6.43,6.42
SLA180,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156198531258,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,1.8 METER (6FT),64.35,VARIANT NOT FOUND,76.28
SLA150,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156198498490,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 1.5m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,1.5 METER (5FT),56.86,VARIANT NOT FOUND,67.39
SLA120,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156198465722,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 1.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,1.2 METER (4FT),49.33,VARIANT NOT FOUND,58.47
SLA90,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156198432954,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 0.9m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,0.9 METER (3FT),44.12,VARIANT NOT FOUND,52.29
SLA60,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156198400186,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 0.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,n/a,38.08,VARIANT NOT FOUND,43.52
SLA30,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156184703162,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 0.3m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,n/a,21.15,VARIANT NOT FOUND,25.08
OLT180,https://bingleyfencing.co.uk/products/omega-lattice-top-fence-panels-near-me?variant=40896838074554,https://www.estatesawmills.com/product/omega-with-trellis-olt180-150-120-90/,1.8m x 1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/omega-lattice-top-fence-panel/,1.8 METER (6FT),62.54,VARIANT NOT FOUND,72.93
OLT150,https://bingleyfencing.co.uk/products/omega-lattice-top-fence-panels-near-me?variant=40896838041786,https://www.estatesawmills.com/product/omega-with-trellis-olt180-150-120-90/,1.8m x 1.5m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/omega-lattice-top-fence-panel/,1.5 METER (5FT),58.27,VARIANT NOT FOUND,67.6
OLT120,https://bingleyfencing.co.uk/products/omega-lattice-top-fence-panels-near-me?variant=40896838009018,https://www.estatesawmills.com/product/omega-with-trellis-olt180-150-120-90/,1.8m x 1.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/omega-lattice-top-fence-panel/,1.2 METER (4FT),51.11,VARIANT NOT FOUND,59.31
OLT90,https://bingleyfencing.co.uk/products/omega-lattice-top-fence-panels-near-me?variant=40896837976250,https://www.estatesawmills.com/product/omega-with-trellis-olt180-150-120-90/,1.8m x 0.9m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/omega-lattice-top-fence-panel/,0.9 METER (3FT),48.73,VARIANT NOT FOUND,55.7
Feb-24,https://bingleyfencing.co.uk/products/feather-edge-boards-near-me?variant=40901337284794,https://www.estatesawmills.com/product/feathered-edge-boards-125mm-wide/,2.4m x 125mm,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/22-x-125-featheredge-board/,"2.4 Metre (7ft 10"")",1.43,1.55,1.52
Feb-18,https://bingleyfencing.co.uk/products/feather-edge-boards-near-me?variant=40901337383098,https://www.estatesawmills.com/product/feathered-edge-boards-125mm-wide/,1.8m x 125mm,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/22-x-125-featheredge-board/,1.8 METER (6FT),1.07,VARIANT NOT FOUND,1.15
Feb-15,https://bingleyfencing.co.uk/products/feather-edge-boards-near-me?variant=40901337350330,https://www.estatesawmills.com/product/feathered-edge-boards-125mm-wide/,1.5m x 125mm,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/22-x-125-featheredge-board/,1.5 METER (5FT),0.89,VARIANT NOT FOUND,0.94
Feb-12,https://bingleyfencing.co.uk/products/feather-edge-boards-near-me?variant=40901337317562,https://www.estatesawmills.com/product/feathered-edge-boards-125mm-wide/,1.2m x 125mm,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/22-x-125-featheredge-board/,1.2 METER (4FT),0.71,VARIANT NOT FOUND,0.76
PB224,https://bingleyfencing.co.uk/products/paling-boards-100mm-x-16mm?variant=40915292782778,https://www.estatesawmills.com/product/paling-boards-timber/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-16mm-sawn-treated-timber/,"2.4 Metre (7ft 10"")",1.47,1.97,1.24
PB218,https://bingleyfencing.co.uk/products/paling-boards-100mm-x-16mm?variant=41033700278458,https://www.estatesawmills.com/product/paling-boards-timber/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-16mm-sawn-treated-timber/,n/a,1.1,1.97,0.94
PB215,https://bingleyfencing.co.uk/products/paling-boards-100mm-x-16mm?variant=40915292750010,https://www.estatesawmills.com/product/paling-boards-timber/,1.5m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-16mm-sawn-treated-timber/,n/a,0.92,1.97,0.78
PB212,https://bingleyfencing.co.uk/products/paling-boards-100mm-x-16mm?variant=40915292717242,https://www.estatesawmills.com/product/paling-boards-timber/,1.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-16mm-sawn-treated-timber/,n/a,0.73,1.97,0.62
PB336,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915340132538,https://www.estatesawmills.com/product/100mm-x-22mm/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,"3.6 Metre (11ft 10"")",3.17,3.25,2.96
PB324,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915337216186,https://www.estatesawmills.com/product/100mm-x-22mm/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,"2.4 Metre (7ft 10"")",2.11,2.17,2.27
PB318,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915322208442,https://www.estatesawmills.com/product/100mm-x-22mm/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,"1.8 Metre (5ft 11"")",1.58,1.63,1.71
PB315,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915322175674,https://www.estatesawmills.com/product/100mm-x-22mm/,1.5m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,"1.5 Metre (4ft 11"")",1.32,1.35,1.41
PB312,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915322142906,https://www.estatesawmills.com/product/100mm-x-22mm/,1.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,"1.2 Metre (3ft 11"")",1.06,1.08,1.13
P112,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915349733562,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,1.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,"1.2 Metre (3ft 11"")",2.7,VARIANT NOT FOUND,2.9
P115,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915349766330,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,1.5m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,"1.5 Metre (4ft 11"")",3.38,3.47,3.62
P118,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915349799098,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,"1.8 Metre (5ft 11"")",4.05,4.16,4.34
P121,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915349799098,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,2.1m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,"2.1 Metre (6ft 11"")",4.72,4.85,4.34
P124,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915357794490,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,"2.4 Metre (7ft 10"")",5.41,5.54,5.8
P236,https://bingleyfencing.co.uk/products/fence-posts-4-x-3?variant=40915364085946,https://www.estatesawmills.com/product/100mm-x-75mm-posts/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-75mm-sawn-treated-timber/,"3.6 Metre (11ft 10"")",10.79,VARIANT NOT FOUND,11.59
P230,https://bingleyfencing.co.uk/products/fence-posts-4-x-3?variant=40915364053178,https://www.estatesawmills.com/product/100mm-x-75mm-posts/,3.0m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-75mm-sawn-treated-timber/,"3.0 Metre (9ft 10"")",8.99,9.23,9.66
P224,https://bingleyfencing.co.uk/products/fence-posts-4-x-3?variant=40915364184250,https://www.estatesawmills.com/product/100mm-x-75mm-posts/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-75mm-sawn-treated-timber/,"2.4 Metre (7ft 10"")",7.19,7.39,7.73
P218,https://bingleyfencing.co.uk/products/fence-posts-4-x-3?variant=40915364118714,https://www.estatesawmills.com/product/100mm-x-75mm-posts/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-75mm-sawn-treated-timber/,"1.8 Metre (5ft 11"")",5.39,5.54,5.8
P336,https://bingleyfencing.co.uk/products/fence-posts-4-x-4?variant=40915374768314,https://www.estatesawmills.com/product/100mm-x-100mm-fence-posts/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-100mm-sawn-treated-timber/,"3.6 Metre (11ft 10"")",14.4,14.78,15.45
P330,https://bingleyfencing.co.uk/products/fence-posts-4-x-4?variant=40915374735546,https://www.estatesawmills.com/product/100mm-x-100mm-fence-posts/,3.0m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-100mm-sawn-treated-timber/,"3.0 Metre (9ft 10"")",12,12.31,12.88
P324,https://bingleyfencing.co.uk/products/fence-posts-4-x-4?variant=40915374833850,https://www.estatesawmills.com/product/100mm-x-100mm-fence-posts/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-100mm-sawn-treated-timber/,"2.4 Metre (7ft 10"")",9.98,9.85,10.31
P318,https://bingleyfencing.co.uk/products/fence-posts-4-x-4?variant=40915374801082,https://www.estatesawmills.com/product/100mm-x-100mm-fence-posts/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-100mm-sawn-treated-timber/,"1.8 Metre (5ft 11"")",7.2,7.39,7.73
GP2,https://bingleyfencing.co.uk/products/gate-posts?variant=40915391873210,https://www.estatesawmills.com/product/weathered-top-gate-posts/,150mm x 150mm x 2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/posts-aggregates/timber-posts/gate-post-weathered-top-green-treated-2400mm-x-150mm-x-150mm/,,25.49,30.32,24.02
RJ12,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=40917574746298,https://www.estatesawmills.com/product/50mm-x-47mm/,3.6m,,,3.39,,3.62
RJ11,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=40917574680762,https://www.estatesawmills.com/product/3x2-75x47mm-tanalised-treated-timber/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fencing-timber/75mm-x-47mm-reg-carcassing-timber-c16-green-treated-stress-graded-home-grown/,"3.6 Metre (11ft 10"")",5.08,5.08,5.46
RJ21,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=42246945112250,https://www.estatesawmills.com/product/3x2-75x47mm-tanalised-treated-timber/,4.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fencing-timber/100mm-x-38mm-sawn-treated-timber/,"4.2 Metre (13ft 9"")",5.92,VARIANT NOT FOUND,6.36
RJ7,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=40915413008570,https://www.estatesawmills.com/product/100mm-x-38mm-rails/,4.2m,,,6.38,,6.85
RJ18,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=41415219511482,https://www.estatesawmills.com/product/100mm-x-38mm-rails/,4.8m,,,7.3,,7.83
RJ13,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=40917574779066,https://www.estatesawmills.com/product/100mm-x-38mm-rails/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fencing-timber/100mm-x-38mm-sawn-treated-timber/,"3.6 Metre (11ft 10"")",5.47,5.62,5.88
RJ10,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=40915413139642,https://www.estatesawmills.com/product/100mm-x-47mm/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fencing-timber/100mm-x-47mm-reg-carcassing-timber-c16-green-treated-stress-graded-home-grown/,"3.6 Metre (11ft 10"")",6.77,6.78,7.27
RJ2,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=41033676193978,https://www.estatesawmills.com/product/100mm-x-47mm/,4.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fencing-timber/100mm-x-47mm-reg-carcassing-timber-c16-green-treated-stress-graded-home-grown/,"4.2 Metre (13ft 9"")",7.9,7.9,7.7
RJ23,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=41415223836858,https://www.estatesawmills.com/product/100mm-x-47mm/,4.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fencing-timber/100mm-x-47mm-reg-carcassing-timber-c16-green-treated-stress-graded-home-grown/,"4.8 Metre (15ft 9"")",9.02,9.03,9.69
RJ9,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=40915413074106,https://www.estatesawmills.com/product/150mm-x-22mm/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fencing-timber/150mm-x-22mm-sawn-treated-timber/,"3.6 Metre (11ft 10"")",4.75,4.88,5.1
RJ19,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=41415223771322,https://www.estatesawmills.com/product/150mm-x-22mm/,4.2m,,,5.55,,5.95
RJ14,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=41415212794042,https://www.estatesawmills.com/product/150mm-x-38mm/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fencing-timber/150mm-x-38mm-sawn-treated-timber/,"3.6 Metre (11ft 10"")",8.21,8.42,8.8
RJ8,https://bingleyfencing.co.uk/products/rail-joists-various-widths-lengths?variant=40915413041338,https://www.estatesawmills.com/product/150mm-x-47mm/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fencing-timber/100mm-x-47mm-reg-carcassing-timber-c16-green-treated-stress-graded-home-grown/,"3.6 Metre (11ft 10"")",10.16,6.78,10.9
